repetitions,type_colmet,sampling_period,metrics,time,Mops
15,Without,-1,"_",230.28,173259.86
28,Without,-1,"_",229.71,173686.83
3,Without,-1,"_",232.49,171608.39
9,Without,-1,"_",232.95,171276.08
21,Without,-1,"_",232.87,171329.37
25,Without,-1,"_",229.11,174145.92
27,Without,-1,"_",231.74,172167.68
16,Without,-1,"_",233.82,170631.59
12,Without,-1,"_",232.19,171833.48
0,Without,-1,"_",232.63,171506.16
23,Without,-1,"_",230.82,172851.36
2,Without,-1,"_",231.94,172020.86
5,Without,-1,"_",230.73,172917.07
17,Without,-1,"_",233.56,170825.45
7,Without,-1,"_",232.94,171279.61
20,Without,-1,"_",231.13,172620.67
29,Without,-1,"_",232.26,171783.08
22,Without,-1,"_",232.41,171671.04
6,Without,-1,"_",232.10,171898.30
11,Without,-1,"_",230.21,173313.67
13,Without,-1,"_",232.42,171666.36
4,Without,-1,"_",229.07,174170.74
26,Without,-1,"_",231.36,172451.73
1,Without,-1,"_",231.81,172114.63
10,Without,-1,"_",233.03,171216.03
8,Without,-1,"_",230.80,172865.03
19,Without,-1,"_",233.52,170857.12
14,Without,-1,"_",231.89,172055.38
24,Without,-1,"_",231.40,172421.76
18,Without,-1,"_",232.69,171463.91
